CODEMP,CODPROD,DESCRPROD,CODLOCAL,CODLOCAL_DESCR,CONTROLE,ESTOQUE,RESERVADO,DISPONIVEL
1,1,PORCA,101,LOCAL WMS, ,1,0,1
1,11,BATENTE CENTRAL MOLA DIANTEIRA,101,LOCAL WMS, ,2,0,2
1,48,KIT MASTER MAXXFORCE 7.2H S/ JUNTA CABECOTE,101,LOCAL WMS, ,19,0,19
1,54,"RODA 8,25 X 22,5 10 FUROS S/ CAMARA",101,LOCAL WMS, ,1,0,1
1,77,ARRUELA CUBO DIANTEIRO VW 8-140 / 8-150,101,LOCAL WMS, ,5,0,5
1,81,RETENTOR CAIXA DIRECAO,101,LOCAL WMS, ,2,0,2
1,82,RETENTOR  CAIXA DE DIREÇÃO MECÂNICA (SETOR) (TRW),101,LOCAL WMS, ,1,0,1
1,120,ROLAMENTO AGULHAS CONTRA EIXO,101,LOCAL WMS, ,1,0,1
1,126,CAPA SINCRONIZADA 3ª MARCHA,101,LOCAL WMS, ,2,0,2
1,129,CAPA SINCRONIZADA 4ª / 5ª MARCHA,101,LOCAL WMS, ,2,0,2
