CODPROD,DESCRPROD,COMPLDESC,REFERENCIA,MARCA,CODGRUPOPROD,DESCRGRUPOPROD,ATIVO,USOPROD,ORIGPROD,NCM,CODVOL,PESOBRUTO,PESOLIQ,LARGURA,ALTURA,ESPESSURA,DTALTER
0,<SEM DESCRICAO>,,0000000,,0,<SEM GRUPO>,S,R,1,,0,0.0,0,0.01,0.01,0.01,04022010 14:50:55
1,PORCA,,0000001,VW,10101,BLOCO DOS CILINDROS,S,R,0,73181600,UN,0.0,0,0.01,0.01,0.01,24112025 16:05:22
2,SOQUETE ESTRIADO CURTO  1/2  17 MM,,0000002,FERRAMENTAS OFICINA,90103,MATERIAL CONSUMO OFICINA,S,C,0,84829990,UN,0.0,0,0.01,0.01,0.01,15102025 18:05:40
3,SOQUETE ESTRIADO CURTO  3/4  mm  1 .1/4,,0000003,FERRAMENTAS OFICINA,90103,MATERIAL CONSUMO OFICINA,S,C,0,84829990,UN,0.0,0,0.01,0.01,0.01,15102025 18:05:40
4,PORCA BOMBA INJETORA MOTOR CUMMINS,,0000004,CUMMINS,11501,PARAFUSO,S,R,0,73181600,UN,0.1,0,0.01,0.01,0.01,24112025 16:05:22
5,PORCA,,NF033942AB,VW,0,<SEM GRUPO>,S,R,0,73181600,UN,0.0,0,0.01,0.01,0.01,17102025 10:35:42
6,CHAVE FENDA  PHILLIPS 3/8 X 6,,3/8 X 6,FERRAMENTAS OFICINA,90103,MATERIAL CONSUMO OFICINA,S,C,0,84829990,UN,0.0,0,0.01,0.01,0.01,15102025 18:05:40
7,GRAMPO,,0000007,VW,10101,BLOCO DOS CILINDROS,S,R,0,87089990,UN,0.0,0,0.01,0.01,0.01,24112025 16:05:22
8,PORCA,,00125370       ,VW,0,<SEM GRUPO>,S,R,0,87089990,UN,0.0,0,0.01,0.01,0.01,15102025 18:06:40
9,CONEXAO,,0000009,FORD,20299,GRUPO EM MANUTENCAO,S,R,0,87089990,UN,0.0,0,0.01,0.01,0.01,24112025 16:05:22
